PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
FL5360102,CITY OF FORT MYERS WATER TREATMENT PLANT,Community water system,Ground water,Lee,FORT MYERS,77879,20,5,73
FL3640557,CITY OF HOLLY HILL,Community water system,Ground water,Volusia,HOLLY HILL,13437,13,20,53
FL3641550,CITY OF LAKE HELEN,Community water system,Ground water,Volusia,LAKE HELEN,2700,7,19,31
FL4060845,CITY OF MARGATE,Community water system,Ground water,Broward,MARGATE,62254,13,5,100
FL3640876,CITY OF NEW SMYRNA BEACH,Community water system,Ground water,Volusia,NEW SMYRNA BEACH,55775,24,14,50
FL6290323,CITY OF PLANT CITY UTILITY,Community water system,Ground water,Hillsborough,PLANT CITY,35850,13,14,46
FL6290327,CITY OF TAMPA WATER DEPARTMENT,Community water system,Surface water,Hillsborough,TAMPA,603000,20,1,128
FL6291791,CITY OF TEMPLE TERRACE UTILITY,Community water system,Ground water,Hillsborough,TEMPLE TERRACE,31062,12,11,32
FL4061127,CITY OF WESTON (INDIAN TRACE),Community water system,Ground water purchased,Broward,WESTON,54620,2,8,17
FL3481501,CLARCONA RESORTS,Community water system,Ground water,Orange,APOPKA,1268,3,34,21
FL6520336,CLEARWATER WATER SYSTEM,Community water system,Surface water purchased,Pinellas,CLEARWATER,110000,52,6,30
FL3354104,CLERBROOK RV RESORTS (2 WPS),Community water system,Ground water,Lake,CLERMONT,3142,4,18,26
FL3354779,CLERMONT EAST WATER SYSTEM (2 WPS),Community water system,Ground water,Lake,CLERMONT,32286,12,8,16
FL3350215,"CLERMONT, CITY OF (2 WPS)",Community water system,Ground water,Lake,CLERMONT,11628,6,17,19
FL5260053,"CLEWISTON, CITY OF",Community water system,Surface water purchased,Hendry,CLEWISTON,9185,6,20,26
FL3420216,CLIFTWOOD MOBILE HOME PARK,Community water system,Ground water,Marion,OCALA,54,2,9,13
FL3050223,"COCOA, CITY OF",Community water system,Surface water,Brevard,COCOA,285352,82,71,22
FL4061584,"COCONUT CREEK, CITY OF",Community water system,Ground water purchased,Broward,COCONUT CREEK,54000,3,7,23
FL6604861,"COLEMAN, CITY OF",Community water system,Ground water,Sumter,COLEMAN,824,3,20,19
FL3354969,COLINA BAY,Community water system,Ground water,Lake,MONTVERDE,175,2,0,5
FL2120224,COLLEGE MANOR,Community water system,Ground water,Columbia,LAKE CITY,130,2,7,26
FL3480226,COLLEGE MOBILE HOME PARK,Community water system,Ground water,Orange,ORLANDO,90,2,23,19
FL5114069,COLLIER COUNTY REGIONAL WTP,Community water system,Ground water,Collier,NAPLES,150960,106,2,37
FL4500264,COLONIAL ESTATES MHP,Community water system,Ground water,Palm Beach,BOYNTON BEACH,450,3,17,41
FL6510355,COLONIAL MANOR WATER SYSTEM,Community water system,Surface water purchased,Pasco,NEW PORT RICHEY,1794,14,7,60
FL3490265,COLONIAL MOBILE HOME PARK,Community water system,Ground water,Osceola,ST CLOUD,115,2,22,21
FL4060846,COLONIES OF MARGATE,Community water system,Ground water purchased,Broward,MARGATE,1400,1,5,4
FL4560266,COLONY CLUB MHP,Community water system,Ground water,St. Lucie,FORT PIERCE,102,2,27,31
FL2124413,COLUMBIA COUNTY WATER SYSTEM,Community water system,Ground water,Columbia,LAKE CITY,75,3,14,5
FL3481551,CONESTOGA MOBILE HOME PARK,Community water system,Ground water,Orange,ORLANDO,62,3,34,25
FL6094773,CONSTATE UTL/HILLS OF AVALON,Community water system,Ground water,Citrus,LECANTO,800,3,15,29
FL2124285,COOL BREEZE MHP,Community water system,Ground water,Columbia,LAKE CITY,73,2,28,23
FL4060282,COOPER CITY,Community water system,Ground water,Broward,COOPER CITY,33752,10,15,88
FL4431883,CORA-WIN COVE,Community water system,Ground water,Martin,PORT SALERNO,165,2,25,27
FL4060291,CORAL SPRINGS IMPROVEMENT DIST,Community water system,Ground water,Broward,CORAL SPRINGS,40000,14,29,96
FL4060290,"CORAL SPRINGS, CITY OF",Community water system,Ground water,Broward,CORAL SPRINGS,65000,20,11,100
FL3350240,CORLEY ISLAND MOBILE MANOR,Community water system,Ground water,Lake,LEESBURG,250,2,0,22
FL1170168,COTTAGE HILL WATER WORKS,Community water system,Ground water,Escambia,CANTONMENT,3889,6,14,36
FL1320143,COTTONDALE WATER SYSTEM,Community water system,Ground water,Jackson,COTTONDALE,950,5,3,28
FL6510378,COUNTRY AIRE EST. SERVICE CORP,Community water system,Ground water,Pasco,DADE CITY,80,3,10,38
FL6510379,COUNTRY AIRE VILLAGE MHP,Community water system,Ground water,Pasco,ZEPHYRHILLS,650,3,28,33
FL6534999,COUNTRY CLASS,Community water system,Ground water,Polk,LAKELAND,256,4,0,24
