"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"AZ0408155","STAGE COACH TRAILS GUEST RANCH","Transient non-community system","Ground water","Mohave","LAKE HAVASU CITY","34","4","12","3"
"AZ0401070","STANFORD GENERAL STORE","Transient non-community system","Ground water","Apache","CONCHO","50","4","9","2"
"AZ0415441","STANFORD INN / SALOME CAFE","Transient non-community system","Ground water purchased","La Paz","SALOME","50","7","32","12"
"AZ0413452","STANTON WATER COMPANY","Transient non-community system","Ground water","Yavapai","STANTON","200","10","6","10"
"AZ0403023","STONEMAN LAKE WATER COMPANY","Transient non-community system","Ground water","Coconino","HAPPY JACK","204","10","162","12"
"AZ0413395","SUBURBAN MOBILE HOME PARK","Transient non-community system","Ground water","Yavapai","COTTONWOOD","30","5","27","13"
"AZ0415499","SUNMART TRAVEL CENTER CONVENIENCE STORE","Transient non-community system","Ground water","La Paz","EHRENBERG","600","7","72","12"
"AZ0413424","SUNRISE RESORT AT PAGE SPRINGS","Transient non-community system","Ground water","Yavapai","PAGE SPRINGS","120","3","18","11"
"AZ0403383","SUNRISE RESORTS CLINTS WELL","Transient non-community system","Ground water","Coconino","CLINTS WELL","100","4","16","15"
"AZ0409020","SUNRISE RESORTS WHITE MOUNTAIN","Transient non-community system","Ground water","Navajo","CLAY SPRINGS","80","5","20","13"
"AZ0415113","SUPER 8 MOTEL QUARTZSITE","Transient non-community system","Ground water","La Paz","QUARTZSITE","60","5","30","4"
"AZ0412032","TA DE DISTRIBUTING COMPANY","Transient non-community system","Ground water","Santa Cruz","NOGALES","100","3","14","12"
"AZ0401014","TAL WI WI WATER USERS","Transient non-community system","Ground water","Apache","ALPINE","84","13","101","14"
"AZ0403040","TAMARISK ENTERPRISES INC","Transient non-community system","Ground water","Coconino","MARBLE CANYON","100","9","18","13"
"AZ0413182","THAI GARDENS","Transient non-community system","Ground water","Yavapai","RIMROCK","25","4","12","7"
"AZ0402392","THE BRIGHT SPOT","Transient non-community system","Ground water","Cochise","PALOMINAS","57","3","39","16"
"AZ0403307","THE BUTTERFLY GARDEN INN","Transient non-community system","Ground water","Coconino","OAK CREEK CANYON","50","5","18","11"
"AZ0402386","THE NATURE CONSERVANCY","Transient non-community system","Ground water","Cochise","RAMSEY CANYON","25","5","15","12"
"AZ0413131","THE OLD CORRAL BAR","Transient non-community system","Ground water","Yavapai","CORNVILLE","25","4","38","10"
"AZ0403404","THE PARKS WATER HOLE","Transient non-community system","Ground water","Coconino","PARKS","25","7","33","5"
"AZ0404111","THE POUR HOUSE BAR AND GRILL","Transient non-community system","Ground water","Gila","PAYSON","55","3","6","1"
"AZ0407473","THE STATION LLC","Transient non-community system","Ground water","Maricopa","NEW RIVER","100","7","27","17"
"AZ0404097","THOMPSON DRAW I HOA","Transient non-community system","Ground water","Gila","PAYSON","30","3","32","3"
"AZ0404098","THOMPSON DRAW II HOA","Transient non-community system","Ground water","Gila","PAYSON","60","4","26","3"
"AZ0413068","THOUSAND TRAILS PRESERVE","Transient non-community system","Ground water","Yavapai","COTTONWOOD","600","6","46","8"
"AZ0407363","TIN TOP BAR AND GRILL","Transient non-community system","Ground water","Maricopa","WINTERSBURG","25","3","22","15"
"AZ0402117","TOMBSTONE TERRITORIES RV","Transient non-community system","Ground water","Cochise","HUACHUCA CITY","45","9","23","7"
"AZ0407495","TONOPAH CARIOCA","Transient non-community system","Ground water","Maricopa","TONOPAH","750","4","2","11"
"AZ0407796","TONOPAH DOLLAR GENERAL","Transient non-community system","Ground water","Maricopa","TONOPAH","25","3","0","1"
"AZ0407359","TONOPAH FAMILY RESTAURANT LLC","Transient non-community system","Ground water","Maricopa","TONOPAH","450","3","43","19"
"AZ0404702","TONTO NATIONAL MONUMENT","Transient non-community system","Ground water","Gila","ROOSEVELT","30","6","15","9"
"AZ0404334","TONTO RIM CHRISTIAN CAMP","Transient non-community system","Ground water","Gila","KOHLS RANCH","208","12","43","19"
"AZ0407125","TORTILLA FLAT RESORT","Transient non-community system","Ground water","Maricopa","TORTILLA FLAT","30","8","132","31"
"AZ0420108","TRA TEL TUCSON R V PARK","Transient non-community system","Ground water","Pima","TUCSON","128","3","46","13"
"AZ0407539","TRACKSIDE BAR AND GRILL","Transient non-community system","Ground water","Maricopa","SUN CITY","25","4","4","5"
"AZ0411382","TRAVELODGE","Transient non-community system","Ground water","Pinal","ELOY","50","5","55","28"
"AZ0411385","TRIANGLE Y RANCH CAMP","Transient non-community system","Ground water","Pinal","ORACLE","125","8","38","18"
"AZ0410222","TUCSON RACQUET SWIM CLUB","Transient non-community system","Ground water","Pima","TUCSON","240","4","35","14"
